,WJSpecID,scientific_name,common_name,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
61,9951,Baeolophus inornatus,Oak Titmouse,6,0,0,0,1,1,2,0,0,0,2,8,0,0,0,0,1.200576927,2.380952381,0.76984127,-0.113598811
62,9952,Baeolophus ridgwayi,Juniper Titmouse,6,0,0,0,1,1,2,0,0,2,3,5,0,0,0,0,1.200303183,2.380952381,0.76984127,-0.113598811
60,9954,Baeolophus bicolor,Tufted Titmouse,6,0,0,0,0,4,0,0,0,2,2,4,2,0,0,0,1.334453751,1.923076923,0.846153846,-0.072550667
59,9955,Baeolophus atricristatus,Black-crested Titmouse,6,0,0,2,0,2,0,0,0,2,2,4,2,0,0,0,1.243038049,2.272727273,0.787878788,-0.103540592
411,9922,Parus major,Great Tit,4,0,1,2,1,2,0,0,0,0,2,6,2,0,0,0,1.210853365,3.846153846,0.525641026,-0.279310746
53,9793,Auriparus flaviceps,Verdin,7,0,0,1,1,1,0,0,0,7,3,0,0,0,0,0,0.832508913,1.923076923,0.846153846,-0.072550667
238,11535,Eremophila alpestris,Horned Lark,5,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,1.522835314,2,0.833333333,-0.079181246
493,10021,Pygochelidon cyanoleuca,Blue-and-white Swallow,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.986771734,1,1,0
545,10039,Stelgidopteryx serripennis,Northern Rough-winged Swallow,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,1.195622944,1,1,0
486,10005,Progne subis,Purple Martin,10,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,1.730701544,1,1,0
485,19569,Progne elegans,Southern Martin,10,0,0,0,0,0,0,0,0,0,3,2,2,3,0,0,1.704150517,1,1,0
487,10015,Progne tapera,Brown-chested Martin,10,0,0,0,0,0,0,0,0,0,3,2,2,3,0,0,1.505149978,1,1,0
566,9992,Tachycineta bicolor,Tree Swallow,9,0,0,1,0,0,0,0,0,2,2,2,2,2,0,0,1.326335861,1.219512195,0.963414634,-0.016186761
567,9999,Tachycineta thalassina,Violet-green Swallow,10,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,1.150449409,1,1,0
509,10052,Riparia riparia,Sand Martin,10,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,1.103119254,1,1,0
282,10074,Hirundo rustica,Barn Swallow,8,0,0,1,0,1,0,0,0,3,3,4,0,0,0,0,1.253095586,1.515151515,0.914141414,-0.038986615
429,10121,Petrochelidon pyrrhonota,Cliff Swallow,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1.334453751,1,1,0
428,10124,Petrochelidon fulva,Cave Swallow,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1.277609214,1,1,0
447,10958,Phylloscopus borealis,Arctic Warbler,10,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1.03702788,1,1,0
491,9976,Psaltriparus minimus,Bushtit,7,0,0,1,0,1,1,0,0,0,5,5,0,0,0,0,0.72427587,1.923076923,0.846153846,-0.072550667
143,11374,Chamaea fasciata,Wrentit,5,0,0,3,0,2,0,0,0,0,8,2,0,0,0,0,1.168202747,2.631578947,0.728070175,-0.137826759
505,10163,Regulus satrapa,Golden-crowned Kinglet,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0.791690649,1,1,0
503,10158,Regulus calendula,Ruby-crowned Kinglet,8,0,0,0,0,2,0,0,0,0,5,5,0,0,0,0,0.791690649,1.470588235,0.921568627,-0.035472318
528,9634,Sitta canadensis,Red-breasted Nuthatch,5,0,0,0,0,5,0,0,0,0,3.33,3.33,3.33,0,0,0,0.991226076,2,0.833333333,-0.079181246
529,9636,Sitta carolinensis,White-breasted Nuthatch,5,0,0,0,0,5,0,0,0,0,3.33,3.33,3.33,0,0,0,1.322219295,2,0.833333333,-0.079181246
531,9627,Sitta pygmaea,Pygmy Nuthatch,6,0,0,0,0,4,0,0,0,0,0,4,6,0,0,0,1.025305865,1.923076923,0.846153846,-0.072550667
530,9628,Sitta pusilla,Brown-headed Nuthatch,6,0,0,0,0,4,0,0,0,0,0,4,6,0,0,0,1.008600172,1.923076923,0.846153846,-0.072550667
139,9656,Certhia americana,American Treecreeper,7,0,0,0,0,2,1,0,0,1,3,3,3,0,0,0,0.908485019,1.851851852,0.858024691,-0.066500214
478,9801,Polioptila caerulea,Blue-grey Gnatcatcher,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0.763427994,1,1,0
479,9802,Polioptila californica,California Gnatcatcher,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0.764922985,1,1,0
480,9803,Polioptila melanura,Black-tailed Gnatcatcher,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0.716003344,1,1,0
512,9687,Salpinctes obsoletus,Rock Wren,8,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1.214048679,1.470588235,0.921568627,-0.035472318
135,9689,Catherpes mexicanus,Canyon Wren,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1.07809415,1,1,0
583,9753,Troglodytes aedon,House Wren,8,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,1.035429738,1.470588235,0.921568627,-0.035472318
801,9750,Troglodytes pacificus,Pacific Wren,6,2,0,1,0,1,0,0,0,5,5,0,0,0,0,0,0.988558957,2.380952381,0.76984127,-0.113598811
706,9750,Troglodytes hiemalis,Winter Wren,6,2,0,1,0,1,0,0,0,5,5,0,0,0,0,0,0.988558957,2.380952381,0.76984127,-0.113598811
161,9703,Cistothorus platensis,Sedge Wren,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.95616843,1,1,0
160,9708,Cistothorus palustris,Marsh Wren,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1.033423755,1,1,0
571,9735,Thryothorus ludovicianus,Carolina Wren,6,2,0,1,0,1,0,0,0,4,4,2,0,0,0,0,1.277838333,2.380952381,0.76984127,-0.113598811
570,9713,Thryomanes bewickii,Bewick's Wren,8,0,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0.995635195,1.470588235,0.921568627,-0.035472318
122,9671,Campylorhynchus brunneicapillus,Cactus Wren,7,2,0,0,0,1,0,0,0,5,5,0,0,0,0,0,1.589949601,1.851851852,0.858024691,-0.066500214
159,8774,Cinclus mexicanus,American Dipper,8,2,0,0,0,0,0,4,4,2,0,0,0,0,0,0,1.753429842,1.470588235,0.921568627,-0.035472318
559,9510,Sturnus vulgaris,Common Starling,2,1,1,3,1,2,0,0,0,8,2,0,0,0,0,0,1.887279635,5,0.333333333,-0.477121255
5,9523,Acridotheres tristis,Common Myna,4,3,0,1,1,1,0,0,0,7,2,1,0,0,0,0,2.066064897,3.571428571,0.571428571,-0.243038049
218,9557,Dumetella carolinensis,Grey Catbird,6,0,0,4,0,0,0,0,0,0,8,2,0,0,0,0,1.547774705,1.923076923,0.846153846,-0.072550667
575,9588,Toxostoma curvirostre,Curve-billed Thrasher,5,0,0,3,0,2,0,0,0,10,0,0,0,0,0,0,1.906011625,2.631578947,0.728070175,-0.137826759
579,9583,Toxostoma rufum,Brown Thrasher,5,0,0,3,0,2,0,0,0,8,2,0,0,0,0,0,1.837588438,2.631578947,0.728070175,-0.137826759
577,9584,Toxostoma longirostre,Long-billed Thrasher,7,0,0,3,0,0,0,0,0,8,2,0,0,0,0,0,1.829946696,1.724137931,0.879310345,-0.055857817
573,9586,Toxostoma bendirei,Bendire's Thrasher,5,0,0,3,0,2,0,0,0,10,0,0,0,0,0,0,1.793720557,2.631578947,0.728070175,-0.137826759
578,9592,Toxostoma redivivum,California Thrasher,5,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,1.926342447,2,0.833333333,-0.079181246
576,9590,Toxostoma lecontei,Le Conte's Thrasher,9,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1.791690649,1.219512195,0.963414634,-0.016186761
574,9593,Toxostoma crissale,Crissal Thrasher,8,0,0,1,0,1,0,0,0,5,5,0,0,0,0,0,1.797267541,1.515151515,0.914141414,-0.038986615
403,9579,Oreoscoptes montanus,Sage Thrasher,8,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,1.645422269,1.515151515,0.914141414,-0.038986615
362,9564,Mimus polyglottos,Northern Mockingbird,5,0,0,5,0,0,0,0,0,7,3,0,0,0,0,0,1.685741739,2,0.833333333,-0.079181246
527,8871,Sialia sialis,Eastern Bluebird,7,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,1.439332694,1.724137931,0.879310345,-0.055857817
