WJSpecID,Scientific,English,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
11174,Pnoepyga immaculata,Nepal Wren-babbler,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1.311753861,1,1,0
11175,Pnoepyga pusilla,Pygmy Wren-babbler,10,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1.079181246,1,1,0
3218,Podager nacunda,Nacunda Nighthawk,10,0,0,0,0,0,0,0,0,0,1,1,1,7,1,0,2.201397124,1,1,0
3159,Podargus ocellatus,Marbled Frogmouth,10,0,0,0,0,0,0,0,0,5,3,2,0,0,1,0,2.243955302,1,1,0
3158,Podargus papuensis,Papuan Frogmouth,8,2,0,0,0,0,0,0,0,8,2,0,0,0,1,0,2.574875873,1.470588235,0.921568627,-0.035472318
3157,Podargus strigoides,Tawny Frogmouth,8,2,0,0,0,0,0,0,0,7,3,0,0,0,1,0,2.488593016,1.470588235,0.921568627,-0.035472318
3754,Podica senegalensis,African Finfoot,3,5,0,0,0,0,2,2,6,2,0,0,0,0,0,0,2.777426822,2.631578947,0.728070175,-0.137826759
5013,Podiceps auritus,Horned Grebe,4,6,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2.656098202,1.923076923,0.846153846,-0.072550667
5012,Podiceps cristatus,Great Crested Grebe,3,7,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2.863893612,1.724137931,0.879310345,-0.055857817
5023,Podiceps gallardoi,Hooded Grebe,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2.759667845,1,1,0
5010,Podiceps grisegena,Red-necked Grebe,5,5,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3.009875634,2,0.833333333,-0.079181246
5009,Podiceps major,Great Grebe,3,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3.216429831,1.724137931,0.879310345,-0.055857817
5015,Podiceps nigricollis,Black-necked Grebe,8,2,0,0,0,0,0,6,4,0,0,0,0,0,0,0,2.615360778,1.470588235,0.921568627,-0.035472318
5018,Podiceps occipitalis,Silvery Grebe,9,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2.506085418,1.219512195,0.963414634,-0.016186761
5022,Podiceps taczanowskii,Junin Grebe,1,9,0,0,0,0,0,8,2,0,0,0,0,0,0,0,2.591320654,1.219512195,0.963414634,-0.016186761
5005,Podilymbus podiceps,Pied-billed Grebe,7,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2.614823422,1.724137931,0.879310345,-0.055857817
8064,Podoces biddulphi,Xinjiang Ground-jay,4,0,2,0,0,4,0,0,0,10,0,0,0,0,0,0,2.038222638,2.777777778,0.703703704,-0.152610163
8063,Podoces hendersoni,Mongolian Ground-jay,5,1,1,0,0,3,0,0,0,10,0,0,0,0,0,0,2.080951004,2.777777778,0.703703704,-0.152610163
8065,Podoces panderi,Turkestan Ground-jay,6,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,1.959518377,1.923076923,0.846153846,-0.072550667
8066,Podoces pleskei,Iranian Ground-jay,6,1,0,0,0,3,0,0,0,10,0,0,0,0,0,0,1.941809473,2.173913043,0.804347826,-0.094556108
7659,Poecilodryas albonotata,Black-throated Robin,10,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1.586587305,1,1,0
7655,Poecilodryas brachyura,Black-chinned Robin,10,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1.399673721,1,1,0
19968,Poecilodryas cerviniventris,Buff-sided Robin,8,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,1.29666519,1.470588235,0.921568627,-0.035472318
7656,Poecilodryas hypoleuca,Black-sided Robin,10,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,1.255272505,1,1,0
7658,Poecilodryas placens,Olive-yellow Robin,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1.405687787,1,1,0
7657,Poecilodryas superciliosa,White-browed Robin,8,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,1.29666519,1.470588235,0.921568627,-0.035472318
5776,Poecilotriccus albifacies,White-cheeked Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.903089987,1,1,0
5812,Poecilotriccus calopterus,Golden-winged Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.876794976,1,1,0
5775,Poecilotriccus capitalis,Black-and-white Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.903089987,1,1,0
5803,Poecilotriccus fumifrons,Smoky-fronted Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.819543936,1,1,0
5802,Poecilotriccus latirostris,Rusty-fronted Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.908485019,1,1,0
19501,Poecilotriccus luluae,Lulu's Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0.86332286,1,1,0
5801,Poecilotriccus plumbeiceps,Ochre-faced Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.755874856,1,1,0
5813,Poecilotriccus pulchellus,Black-backed Tody-flycatcher,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.84260924,1,1,0
